t,x,z,a,z_t,a_t,d
64.74399996,"[-0.1560555398464203, 0.9205752611160278]",0.418249992,stay,0.40474999,stay,FALSE
65.36999989,"[-0.15709659457206726, 0.9285082817077637]",0.40474999,stay,0.418999992,stay,FALSE
66.02399993,"[-0.15832306444644928, 0.9378719329833984]",0.418999992,stay,0.468499991,stay,FALSE
66.66099977,"[-0.1598712056875229, 0.9496638178825378]",0.468499991,stay,0.398999987,stay,FALSE
67.28799987,"[-0.16125451028347015, 0.9602122902870178]",0.398999987,stay,0.450749989,stay,FALSE
68.0389998,"[-0.16232353448867798, 0.968363881111145]",0.450749989,stay,0.40499999,stay,FALSE
68.66699982,"[-0.1637716442346573, 0.9794018864631653]",0.40499999,stay,0.428749997,stay,FALSE
69.29099989,"[-0.16522328555583954, 0.990485429763794]",0.428749997,stay,0.44299999,stay,FALSE
70.07799983,"[-0.16646429896354675, 0.9998995661735535]",0.44299999,stay,0.446999991,stay,FALSE
70.76199985,"[-0.16802401840686798, 1.0117906332015991]",0.446999991,stay,0.422749992,stay,FALSE
71.43199992,"[-0.16954991221427917, 1.023453950881958]",0.422749992,stay,0.480999994,stay,FALSE
72.39699984,"[-0.17139987647533417, 1.037515640258789]",0.480999994,stay,0.455249986,stay,FALSE
73.06399989,"[-0.172708660364151, 1.047487735748291]",0.455249986,stay,0.442999988,stay,FALSE
73.66499996,"[-0.17374907433986664, 1.0554193258285522]",0.442999988,stay,0.478249987,stay,FALSE
74.31099987,"[-0.17492340505123138, 1.064281940460205]",0.478249987,stay,0.463999985,stay,FALSE
74.94599986,"[-0.1764390766620636, 1.0759159326553345]",0.463999985,stay,0.433499991,stay,FALSE
75.65399981,"[-0.17791208624839783, 1.0871589183807373]",0.433499991,stay,0.455749986,stay,FALSE
76.26599979,"[-0.17895352840423584, 1.095085859298706]",0.455749986,stay,0.454999987,stay,FALSE
76.83199978,"[-0.17999503016471863, 1.1030126810073853]",0.454999987,stay,0.455499991,stay,FALSE
77.41299987,"[-0.1810847967863083, 1.1114543676376343]",0.455499991,stay,0.442749989,stay,FALSE
78.023,"[-0.1825076937675476, 1.1221799850463867]",0.442749989,stay,0.462249991,stay,FALSE
